N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
22080,81,4,256,2,42,256,FP64,0.8281865119934082,474.2463723002715
22080,81,4,256,4,42,256,FP32,0.926062822341919,426.9056091308594
22080,81,4,256,4,42,256,FP32,0.9225418567657471,426.9056091308594
22080,81,4,256,4,42,256,FP32,0.9221928119659424,426.9056091308594
22080,81,4,256,4,42,256,FP32,0.9290745258331299,426.9056091308594
22080,81,4,256,4,42,256,FP32,0.9280447959899902,426.9056091308594
22080,81,4,256,4,42,256,FP64,1.5746243000030518,432.0882786104503
22080,81,4,256,4,42,256,FP64,1.5815277099609375,432.0882786104503
22080,81,4,256,4,42,256,FP64,1.5610284805297852,432.0882786104503
22080,81,4,256,4,42,256,FP64,1.5385689735412598,432.0882786104503
22080,81,4,256,4,42,256,FP64,1.550964593887329,432.0882786104503
22080,81,4,512,1,42,256,FP32,0.24659967422485352,617.3311157226562
22080,81,4,512,1,42,256,FP32,0.24172639846801758,617.3311157226562
22080,81,4,512,1,42,256,FP32,0.24873614311218262,617.3311157226562
22080,81,4,512,1,42,256,FP32,0.24608230590820312,617.3311157226562
22080,81,4,512,1,42,256,FP32,0.25090885162353516,617.3311157226562
22080,81,4,512,1,42,256,FP64,0.41393160820007324,639.6360661476263
22080,81,4,512,1,42,256,FP64,0.4267756938934326,639.6360661476263
22080,81,4,512,1,42,256,FP64,0.4207181930541992,639.6360661476263
22080,81,4,512,1,42,256,FP64,0.49338865280151367,639.6360661476263
22080,81,4,512,1,42,256,FP64,0.40252232551574707,639.6360661476263
22080,81,4,512,2,42,256,FP32,0.48618507385253906,469.2825622558594
22080,81,4,512,2,42,256,FP32,0.47961997985839844,469.2825622558594
22080,81,4,512,2,42,256,FP32,0.5000536441802979,469.2825622558594
22080,81,4,512,2,42,256,FP32,0.48447728157043457,469.2825622558594
22080,81,4,512,2,42,256,FP32,0.4699208736419678,469.2825622558594
22080,81,4,512,2,42,256,FP64,0.808081865310669,474.2463723002715
22080,81,4,512,2,42,256,FP64,0.8174173831939697,474.2463723002715
22080,81,4,512,2,42,256,FP64,0.8267722129821777,474.2463723002715
22080,81,4,512,2,42,256,FP64,0.8112576007843018,474.2463723002715
22080,81,4,512,2,42,256,FP64,0.852623701095581,474.2463723002715
22080,81,4,512,4,42,256,FP32,0.9228353500366211,426.9056091308594
22080,81,4,512,4,42,256,FP32,0.9257609844207764,426.9056091308594
22080,81,4,512,4,42,256,FP32,0.9507923126220703,426.9056091308594
22080,81,4,512,4,42,256,FP32,0.9182929992675781,426.9056091308594
22080,81,4,512,4,42,256,FP32,0.9167995452880859,426.9056091308594
22080,81,4,512,4,42,256,FP64,1.5593183040618896,432.0882786104503
22080,81,4,512,4,42,256,FP64,1.7471904754638672,432.0882786104503
22080,81,4,512,4,42,256,FP64,1.6856868267059326,432.0882786104503
22080,81,4,512,4,42,256,FP64,1.5927326679229736,432.0882786104503
22080,81,4,512,4,42,256,FP64,1.5542192459106445,432.0882786104503
22080,81,8,64,1,42,256,FP32,0.4355320930480957,554.5840454101562
22080,81,8,64,1,42,256,FP32,0.4393162727355957,554.5840454101562
22080,81,8,64,1,42,256,FP32,0.4442615509033203,554.5840454101562
22080,81,8,64,1,42,256,FP32,0.4274449348449707,554.5840454101562
22080,81,8,64,1,42,256,FP32,0.42803144454956055,554.5840454101562
22080,81,8,64,1,42,256,FP64,0.7925455570220947,567.5489783714092
22080,81,8,64,1,42,256,FP64,0.9210054874420166,567.5489783714092
22080,81,8,64,1,42,256,FP64,0.875995397567749,567.5489783714092
22080,81,8,64,1,42,256,FP64,0.87782883644104,567.5489783714092
22080,81,8,64,1,42,256,FP64,0.902817964553833,567.5489783714092
22080,81,8,64,2,42,256,FP32,0.8626606464385986,418.9924621582031
22080,81,8,64,2,42,256,FP32,0.8617427349090576,418.9924621582031
22080,81,8,64,2,42,256,FP32,0.8505063056945801,418.9924621582031
22080,81,8,64,2,42,256,FP32,0.8504359722137451,418.9924621582031
22080,81,8,64,2,42,256,FP32,0.8437187671661377,418.9924621582031
22080,81,8,64,2,42,256,FP64,1.5909552574157715,420.4571099379542
22080,81,8,64,2,42,256,FP64,1.5947670936584473,420.4571099379542
22080,81,8,64,2,42,256,FP64,1.5626709461212158,420.4571099379542
22080,81,8,64,2,42,256,FP64,1.5665507316589355,420.4571099379542
22080,81,8,64,2,42,256,FP64,1.5658988952636719,420.4571099379542
22080,81,8,64,4,42,256,FP32,1.7186219692230225,367.28289794921875
22080,81,8,64,4,42,256,FP32,1.6791188716888428,367.28289794921875
22080,81,8,64,4,42,256,FP32,1.6723504066467285,367.28289794921875
22080,81,8,64,4,42,256,FP32,1.896420955657959,367.28289794921875
22080,81,8,64,4,42,256,FP32,1.7077817916870117,367.28289794921875
22080,81,8,64,4,42,256,FP64,3.077242612838745,374.51446636523104
22080,81,8,64,4,42,256,FP64,3.3598415851593018,374.51446636523104
22080,81,8,64,4,42,256,FP64,3.3110642433166504,374.51446636523104
22080,81,8,64,4,42,256,FP64,3.4139769077301025,374.51446636523104
22080,81,8,64,4,42,256,FP64,3.1149795055389404,374.51446636523104
22080,81,8,128,1,42,256,FP32,0.47420263290405273,554.5840454101562
22080,81,8,128,1,42,256,FP32,0.4651491641998291,554.5840454101562
22080,81,8,128,1,42,256,FP32,0.4471442699432373,554.5840454101562
22080,81,8,128,1,42,256,FP32,0.42737293243408203,554.5840454101562
22080,81,8,128,1,42,256,FP32,0.4301760196685791,554.5840454101562
22080,81,8,128,1,42,256,FP64,0.8006405830383301,567.5489783714092
22080,81,8,128,1,42,256,FP64,0.7959401607513428,567.5489783714092
22080,81,8,128,1,42,256,FP64,0.8050484657287598,567.5489783714092
22080,81,8,128,1,42,256,FP64,0.7955102920532227,567.5489783714092
22080,81,8,128,1,42,256,FP64,0.7969603538513184,567.5489783714092
22080,81,8,128,2,42,256,FP32,0.8754305839538574,418.9924621582031
22080,81,8,128,2,42,256,FP32,0.860908031463623,418.9924621582031
22080,81,8,128,2,42,256,FP32,0.8363378047943115,418.9924621582031
22080,81,8,128,2,42,256,FP32,0.8409976959228516,418.9924621582031
22080,81,8,128,2,42,256,FP32,0.875434398651123,418.9924621582031
22080,81,8,128,2,42,256,FP64,1.6041617393493652,420.4571099379542
22080,81,8,128,2,42,256,FP64,1.600614070892334,420.4571099379542
22080,81,8,128,2,42,256,FP64,1.5899064540863037,420.4571099379542
22080,81,8,128,2,42,256,FP64,1.585059404373169,420.4571099379542
22080,81,8,128,2,42,256,FP64,1.5703728199005127,420.4571099379542
22080,81,8,128,4,42,256,FP32,1.708756923675537,367.28289794921875
22080,81,8,128,4,42,256,FP32,1.680004358291626,367.28289794921875
22080,81,8,128,4,42,256,FP32,1.6945056915283203,367.28289794921875
22080,81,8,128,4,42,256,FP32,1.6663947105407715,367.28289794921875
22080,81,8,128,4,42,256,FP32,1.6968817710876465,367.28289794921875
22080,81,8,128,4,42,256,FP64,3.304949998855591,374.51446636523104
22080,81,8,128,4,42,256,FP64,3.1957521438598633,374.51446636523104
22080,81,8,128,4,42,256,FP64,3.0795443058013916,374.51446636523104
22080,81,8,128,4,42,256,FP64,3.1271183490753174,374.51446636523104
22080,81,8,128,4,42,256,FP64,3.0927212238311768,374.51446636523104
22080,81,8,256,1,42,256,FP32,0.43007707595825195,554.5840454101562
22080,81,8,256,1,42,256,FP32,0.4492979049682617,554.5840454101562
22080,81,8,256,1,42,256,FP32,0.4385545253753662,554.5840454101562
22080,81,8,256,1,42,256,FP32,0.43759894371032715,554.5840454101562
22080,81,8,256,1,42,256,FP32,0.4516146183013916,554.5840454101562
22080,81,8,256,1,42,256,FP64,0.7937462329864502,567.5489783714092
22080,81,8,256,1,42,256,FP64,0.8048770427703857,567.5489783714092
22080,81,8,256,1,42,256,FP64,0.7935135364532471,567.5489783714092
